,intent,utt
0,7,aktifkan mode malam
1,3,matikan televisi di ruang tamu
2,10,baca pesan terakhir
3,9,bagikan lokasi saya sekarang
4,5,putar musik favorit saya
5,8,tingkatkan suhu ruangan dua derajat
6,1,atur penerangan ke dua puluh persen
7,1,atur penerangan ke dua puluh persen
8,5,putar musik favorit saya
9,1,atur penerangan ke dua puluh persen
10,2,nyalakan lampu kamar tidur
11,6,buka tirai ruang tamu
12,6,buka tirai ruang tamu
13,8,tingkatkan suhu ruangan dua derajat
14,6,buka tirai ruang tamu
15,2,nyalakan lampu kamar tidur
16,3,matikan televisi di ruang tamu
17,6,buka tirai ruang tamu
18,7,aktifkan mode malam
19,8,tingkatkan suhu ruangan dua derajat
20,2,nyalakan lampu kamar tidur
21,2,nyalakan lampu kamar tidur
22,9,bagikan lokasi saya sekarang
23,1,atur penerangan ke dua puluh persen
24,2,nyalakan lampu kamar tidur
25,4,setel alarm untuk jam enam pagi
26,2,nyalakan lampu kamar tidur
27,10,baca pesan terakhir
28,9,bagikan lokasi saya sekarang
29,8,tingkatkan suhu ruangan dua derajat
30,1,atur penerangan ke dua puluh persen
31,3,matikan televisi di ruang tamu
32,2,nyalakan lampu kamar tidur
33,8,tingkatkan suhu ruangan dua derajat
34,3,matikan televisi di ruang tamu
35,2,nyalakan lampu kamar tidur
36,2,nyalakan lampu kamar tidur
37,6,buka tirai ruang tamu
38,8,tingkatkan suhu ruangan dua derajat
39,6,buka tirai ruang tamu
40,5,putar musik favorit saya
41,4,setel alarm untuk jam enam pagi
42,4,setel alarm untuk jam enam pagi
43,1,atur penerangan ke dua puluh persen
44,5,putar musik favorit saya
45,3,matikan televisi di ruang tamu
46,10,baca pesan terakhir
47,6,buka tirai ruang tamu
48,2,nyalakan lampu kamar tidur
49,4,setel alarm untuk jam enam pagi
50,1,atur penerangan ke dua puluh persen
51,6,buka tirai ruang tamu
52,2,nyalakan lampu kamar tidur
53,5,putar musik favorit saya
54,9,bagikan lokasi saya sekarang
55,4,setel alarm untuk jam enam pagi
56,3,matikan televisi di ruang tamu
57,2,nyalakan lampu kamar tidur
58,9,bagikan lokasi saya sekarang
59,7,aktifkan mode malam
60,8,tingkatkan suhu ruangan dua derajat
61,9,bagikan lokasi saya sekarang
62,7,aktifkan mode malam
63,9,bagikan lokasi saya sekarang
64,2,nyalakan lampu kamar tidur
65,7,aktifkan mode malam
66,1,atur penerangan ke dua puluh persen
67,7,aktifkan mode malam
68,7,aktifkan mode malam
69,1,atur penerangan ke dua puluh persen
70,9,bagikan lokasi saya sekarang
71,9,bagikan lokasi saya sekarang
72,4,setel alarm untuk jam enam pagi
73,5,putar musik favorit saya
74,8,tingkatkan suhu ruangan dua derajat
75,6,buka tirai ruang tamu
76,1,atur penerangan ke dua puluh persen
77,1,atur penerangan ke dua puluh persen
78,10,baca pesan terakhir
79,6,buka tirai ruang tamu
80,1,atur penerangan ke dua puluh persen
81,1,atur penerangan ke dua puluh persen
82,5,putar musik favorit saya
83,3,matikan televisi di ruang tamu
84,9,bagikan lokasi saya sekarang
85,10,baca pesan terakhir
86,10,baca pesan terakhir
87,6,buka tirai ruang tamu
88,3,matikan televisi di ruang tamu
89,4,setel alarm untuk jam enam pagi
90,4,setel alarm untuk jam enam pagi
91,10,baca pesan terakhir
92,7,aktifkan mode malam
93,3,matikan televisi di ruang tamu
94,3,matikan televisi di ruang tamu
95,3,matikan televisi di ruang tamu
96,3,matikan televisi di ruang tamu
97,10,baca pesan terakhir
98,7,aktifkan mode malam
99,7,aktifkan mode malam
